datasetid,recordid,nom_parking,company,adresse,ville,code_postal,geo,gares_id,24/24,time_opening,time_closing,prix_jour,prix_semaine,camera,handicape,hauteur_maximum,nombre_de_places
parking,48,Parking Porte d'Auteuil,Saemes,"1-3 avenue du Général Sarail
",Paris,75016,"48.847473, 2.256245",57,TRUE,0.00,0.00,36,139.8,TRUE,TRUE,1.85,1128
parking,49,Parking Sainte Périne,Saemes,Angle rue Chardon-Lagache et rue Mirabeau,Paris,75016,"48.845256, 2.266998",327,TRUE,0.00,0.00,37.50,,FALSE,FALSE,1.85,170
parking,50,Parking Delessert,Saemes,13 rue Beethoven,Paris,75016,"48.858752, 2.286969",141,TRUE,0.00,0.00,32.40,,TRUE,FALSE,1.95,254
parking,51,Parking Mairie du 17ème,Saemes,16/20 rue des Batignolles,Paris,75017,"48.884606, 2.321516",1016,TRUE,0.00,0.00,36.9,127,TRUE,TRUE,1.85,387
parking,52,Parking Cardinet,Saemes,face 168 rue Cardinet,Paris,75017,"48.88958, 2.3164",688,TRUE,0.00,0.00,36.00,,TRUE,FALSE,1.95,640
parking,53,Parking Péreire,Saemes,209 Boulevard Pereire,Paris,75017,"48.883775, 2.295416",632,TRUE,0.00,0.00,28.90,,TRUE,FALSE,2.1,298
parking,54,Parking Marcadet,Saemes,142 rue Marcadet,Paris,75018,"48.891256, 2.339104",310.309,TRUE,0.00,0.00,38.00,,TRUE,FALSE,2,145
parking,55,Parking 20/22 Goutte d'Or,Saemes,20-22 rue de la Goutte d'Or,Paris,75018,"48.88503, 2.352989",310.309,TRUE,0.00,0.00,34.90,,TRUE,FALSE,1.9,85
parking,56,Parking Chartres,Saemes,4 rue de Chartres,Paris,75018,"48.884401, 2.355409",310.309,TRUE,0.00,0.00,33.30,,TRUE,FALSE,1.9,161
parking,57,Parking Carpeaux,Saemes,5 / 7 / 7 bis rue Carpeaux,Paris,75018,"48.890469, 2.330233",688,TRUE,0.00,0.00,25.50,,FALSE,FALSE,1.9,102
parking,58,Parking Damrémont,Saemes,73 rue Damremont,Paris,75018,"48.892529, 2.335539",688,TRUE,0.00,0.00,19.50,,FALSE,FALSE,2.2,148
parking,59,Parking Firmin Gémier,Saemes,5/ 7 rue Firmin Gémier,Paris,75018,"48.89476, 2.330174
",688,TRUE,0.00,0.00,37.30,,TRUE,FALSE,1.95,135
parking,60,Parking Islettes,Saemes,12 rue de Islettes,Paris,75018,"48.884416, 2.35083",319.309,TRUE,0.00,0.00,32.40,,TRUE,FALSE,1.9,50
parking,61,Parking 44 Goutte d'Or,Saemes,44 rue de la Goutte d'Or,Paris,75018,"48.885102, 2.351066",310.309,TRUE,0.00,0.00,38.40,,TRUE,TRUE,1.9,59
parking,62,Parking Mairie du 19ème,Saemes,Rue André Dubois,Paris,75019,"48.88341, 2.38173",305,TRUE,0.00,0.00,35.40,,TRUE,TRUE,1.9,250
parking,63,Parking Hôpital Robert-Debré,Saemes,48 boulevard Sérurier,Paris,75019,"48.87929, 2.40177
",305,FALSE,9.30,20.30,18,77,TRUE,TRUE,1.9,180
parking,64,Parking Printemps Nation,Saemes,22 rue de Lagny,Paris,75020,"48.848886, 2.401191
",582,FALSE,5.00,1.00,23.50,,FALSE,FALSE,1.9,79
